"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL3",3.83901989461064e-84,0.320467216795466,0.999,0.992,1.43917177809164e-79
"RPL14",2.0074606601555e-82,0.353888596300186,0.994,0.985,7.52556852279093e-78
"CD83",3.17992520398169e-78,0.714850133622196,0.55,0.352,1.19209036046866e-73
"TNFRSF13B",6.10926560955952e-78,0.609800041637243,0.438,0.247,2.29024149171167e-73
"RPL19",2.9209064488252e-76,0.316265515048669,0.998,0.996,1.09498940953559e-71
"ABI3",6.29641127722325e-76,0.72423326527771,0.311,0.158,2.36039865960545e-71
"JUNB",1.78038375067347e-74,0.630433956689667,0.848,0.771,6.67430260452471e-70
"RPL7A",1.65851064697057e-73,0.363905010826936,0.994,0.989,6.21742471336326e-69
"ARHGAP24",1.10644618048765e-71,0.66496754350735,0.491,0.311,4.14784544141209e-67
"RPL36",1.91370965597278e-71,0.299283343336177,0.998,0.992,7.17411475831075e-67
"EEF1A1",3.38251927395329e-71,0.294845880448349,0.999,0.997,1.26803882541961e-66
"NR4A2",1.27749655298756e-67,0.760583599108508,0.311,0.16,4.78907907783978e-63
"RPS21",3.11508244393186e-67,0.316410990189976,0.995,0.984,1.16778210658117e-62
"PFDN5",7.05303954134941e-67,0.354388155280731,0.969,0.944,2.64404346326107e-62
"RPS4Y1",2.26833100152271e-66,0.48078033383929,0.817,0.717,8.50351925850832e-62
"RACK1",9.3314444119272e-66,0.719080287291295,0.572,0.397,3.49817188114327e-61
"RPS15A",7.85527251733702e-65,0.260918050275635,0.999,0.997,2.9447845612993e-60
"NAPSA",8.24383761244566e-65,0.631335277267656,0.196,0.077,3.09044984415363e-60
"RGS2",1.50071706176179e-63,0.929001406606184,0.408,0.257,5.62588812113261e-59
"RPL8",5.54192769362523e-63,0.316212634138879,0.996,0.993,2.07755785378623e-58
"TSC22D3",3.4480375405004e-62,0.528684410975188,0.888,0.84,1.29260031318279e-57
"HLA-E",6.33066521886565e-61,0.325265524854996,0.958,0.93,2.37323977724835e-56
"RPL28",1.52612709824881e-60,0.284488801737401,0.999,0.997,5.72114526591515e-56
"SMIM14",1.98695534497493e-60,0.515310092862316,0.642,0.468,7.44869819724203e-56
"RPS12",7.60715987469145e-59,0.29728204096206,0.999,0.996,2.85177209382433e-54
"CD37",1.30482203049945e-55,0.343756835117371,0.974,0.882,4.89151682793636e-51
"MT-ATP6",3.60313783640532e-55,0.332959544524758,0.987,0.968,1.35074431211163e-50
"RAC2",8.01267633263792e-55,0.492551069959483,0.79,0.717,3.0037921035793e-50
"RPS13",1.73959617277962e-53,0.272274480975009,0.998,0.992,6.52139813251624e-49
"MT-ND3",4.97242347079149e-53,0.269720045724023,0.995,0.972,1.86406211073031e-48
"ZFP36",5.03895787437791e-53,0.640115024733849,0.691,0.591,1.88900452794679e-48
"ZFP36L1",1.91555365302524e-52,0.588875727262247,0.649,0.521,7.18102753446103e-48
"RPL5",4.94694776170574e-51,0.274930633344802,0.991,0.981,1.85451177690825e-46
"MT-CO2",4.24691321505711e-50,0.292739710804096,0.998,0.989,1.59208282606061e-45
"ATP5MC2",6.52200361385772e-49,0.633486304882244,0.48,0.333,2.44496871476298e-44
"RGS19",3.2851637442846e-48,0.574639976856126,0.496,0.364,1.23154218445741e-43
"TOMM7",3.32667031566441e-48,0.325418233564994,0.9,0.87,1.24710216793627e-43
"MTRNR2L8",6.71835942834844e-48,0.774780858260592,0.403,0.259,2.51857858249926e-43
"HLA-A",1.35088758215941e-47,0.274208848430455,0.969,0.952,5.06420736799919e-43
"NCF1",4.59901666281798e-47,0.500947562710148,0.716,0.638,1.7240793665572e-42
"SLC2A3",6.1168641281825e-47,0.694143201688082,0.4,0.266,2.29309002437306e-42
"EEF1B2",2.20022091349717e-46,0.341782880193314,0.957,0.934,8.24818816051818e-42
"ZFP36L2",4.74989489365925e-46,0.642770704622205,0.685,0.607,1.78064059773498e-41
"RPL29",2.16611177098188e-45,0.260483160410168,0.994,0.99,8.12031980705688e-41
"CD44",1.60906554745989e-44,0.522408424021907,0.611,0.509,6.03206492431762e-40
"CR2",3.49958612721519e-44,0.492324324134097,0.218,0.11,1.31192484737043e-39
"BANK1",2.26368601286651e-43,0.429097986151941,0.652,0.508,8.48610612503397e-39
"PPP1R15A",6.41687353937768e-43,0.475157288121649,0.634,0.524,2.40555755244191e-38
"CD19",6.61039206125075e-43,0.49100098908553,0.572,0.441,2.47810377592168e-38
"SMARCB1",1.46017943070448e-41,0.514348509379098,0.51,0.399,5.47392064982496e-37
"FCRL2",4.53606579234175e-41,0.500630267748372,0.257,0.145,1.70048034423307e-36
"LINC01781",2.17568281811114e-40,0.635586344946878,0.177,0.083,8.15619974853506e-36
"SIDT1",4.16495631573882e-40,0.355495152981127,0.158,0.07,1.56135882364417e-35
"RALGPS2",1.49917091252063e-38,0.543495832682204,0.403,0.286,5.62009191685735e-34
"NACA",2.42945940083151e-38,0.292603861955233,0.968,0.959,9.10755740183715e-34
"TGIF1",8.63260014013293e-38,0.482827490538555,0.157,0.074,3.23618914053303e-33
"RIC3",1.62863281471684e-37,0.474833233964831,0.311,0.195,6.10541869581049e-33
"ACP5",2.43998526918189e-37,0.570081376727388,0.384,0.268,9.14701677710906e-33
"ZFAS1",3.31354956991856e-37,0.426241351356226,0.762,0.692,1.24218346277107e-32
"PSMB9",1.27616822546627e-35,0.456303906671715,0.678,0.621,4.78409944362796e-31
"ATP5F1E",2.65735525814615e-34,0.440802922642063,0.518,0.374,9.9618933917383e-30
"SAT1",3.36179523768797e-34,0.465860085213138,0.704,0.646,1.26026979870447e-29
"FADS3",4.44422552966224e-34,0.458662903053225,0.22,0.124,1.66605126655978e-29
"FXYD5",5.0129539809154e-34,0.379983923687656,0.746,0.685,1.87925618836557e-29
"RNASET2",8.68180537979957e-34,0.400522310003614,0.658,0.583,3.25463520077926e-29
"IDS",1.55321477350716e-33,0.527030427052877,0.427,0.326,5.82269154292365e-29
"LY86",1.2506661783492e-32,0.379109478111124,0.566,0.44,4.68849736939546e-28
"CD74",1.36240967960238e-32,0.297475728165488,1,0.993,5.10740140689339e-28
"MTRNR2L12",8.50156507912844e-32,0.724077795567167,0.437,0.332,3.18706671686367e-27
"FCRLA",9.92870842488082e-32,0.407750661441504,0.507,0.393,3.72207421431932e-27
"PLD4",4.84278888486786e-31,0.429661142035264,0.205,0.116,1.81546469715926e-26
"CHI3L2",1.04584837612404e-30,0.446009527975426,0.289,0.183,3.92067639241382e-26
"HIST1H4C",1.29313800176907e-30,0.590771765898303,0.466,0.382,4.84771574103189e-26
"SARAF",4.89553210826501e-30,0.382484842589421,0.704,0.666,1.83523707674639e-25
"PPP1R14B",1.57917314081882e-29,0.524753815530695,0.195,0.113,5.92000427030158e-25
"QRSL1",2.24561667534023e-29,0.415429606122491,0.295,0.191,8.41836779251544e-25
