"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"85","AcB2","GO:0098974","postsynaptic actin cytoskeleton organization","2/103","11/18614",0.00161436384533082,0.0382889119080816,0.0341065600016642,"60/71",2
"89","AcB2","GO:0051492","regulation of stress fiber assembly","4/103","94/18614",0.00184122110726401,0.0417067612611712,0.0371510728443808,"6281/5216/387/71",4
"93","DN","GO:0015986","proton motive force-driven ATP synthesis","16/119","76/18614",2.15842146571844e-20,4.52189297068012e-17,3.9783115647084e-17,"514/517/10632/513/518/9551/522/506/521/10476/515/516/509/498/539/527",16
"96","DN","GO:1902600","proton transmembrane transport","17/119","143/18614",3.58192206261701e-17,1.56051162952866e-14,1.37292092114292e-14,"514/517/10632/513/518/9551/522/506/521/10476/515/516/509/498/539/9377/527",17
"103","DN","GO:0046034","ATP metabolic process","18/119","219/18614",2.99368537875432e-15,5.70160988044572e-13,5.01621349109934e-13,"514/517/10632/513/518/93974/9551/522/506/521/10476/515/516/509/498/2597/539/527",18
"107","DN","GO:0006119","oxidative phosphorylation","14/119","148/18614",6.25665776016056e-13,8.73846533835759e-11,7.68800543020431e-11,"514/10632/513/9551/522/506/521/10476/515/509/498/539/387/9377",14
"120","DN","GO:0048525","negative regulation of viral process","9/119","90/18614",6.01036750286208e-09,4.49704282803431e-07,3.956448683275e-07,"10581/4061/9636/6772/6352/3669/4599/8519/684",9
"123","DN","GO:0019835","cytolysis","5/119","23/18614",3.01163448089177e-07,2.03528201208654e-05,1.79061866758625e-05,"3002/4818/3001/2999/5551",5
"125","DN","GO:0009615","response to virus","14/119","408/18614",3.46080904094767e-07,2.19708937599557e-05,1.93297500181798e-05,"10581/58515/2537/9636/6772/6352/10964/3669/4599/5551/8519/10561/7353/684",14
"129","DN","GO:0002687","positive regulation of leukocyte migration","8/119","147/18614",4.68020113838411e-06,0.000265000577970668,0.000233144585869433,"58515/3958/9750/6352/387/8784/4267/10563",8
"135","DN","GO:0045862","positive regulation of proteolysis","11/119","365/18614",2.25750122854699e-05,0.00109987559855952,0.000967658421342909,"10399/6923/29997/93974/6281/5720/302/64115/11337/387/5721",11
"137","DN","GO:0035456","response to interferon-beta","4/119","32/18614",4.97214373869033e-05,0.00231480914056806,0.00203654355238521,"10581/6772/8519/684",4
"144","DN","GO:0051099","positive regulation of binding","7/119","176/18614",0.000137985553246062,0.00555922565481731,0.00489094541971366,"10923/567/9750/6281/302/7295/801",7
"146","DN","GO:0021762","substantia nigra development","4/119","44/18614",0.000176922903112614,0.0068639533707579,0.00603883047466252,"522/515/387/801",4
"151","DN","GO:0031334","positive regulation of protein-containing complex assembly","7/119","195/18614",0.000259080374512525,0.0091995488915888,0.00809366165515488,"10399/3958/647087/9636/387/5216/10563",7
"154","DN","GO:0051882","mitochondrial depolarization","3/119","21/18614",0.000311511042097583,0.0103589783046736,0.00911371486571209,"10399/93974/2537",3
"155","DN","GO:1900118","negative regulation of execution phase of apoptosis","3/119","21/18614",0.000311511042097583,0.0103589783046736,0.00911371486571209,"100463486/100463498/100462977",3
"160","DN","GO:0098869","cellular oxidant detoxification","5/119","99/18614",0.000434856979495771,0.013014648172052,0.0114501439262721,"9403/51714/6415/55829/7295",5
"164","DN","GO:0031579","membrane raft organization","3/119","25/18614",0.000528753744006989,0.0153852651902034,0.0135357866338631,"6281/302/128240",3
"170","DN","GO:2000272","negative regulation of signaling receptor activity","4/119","66/18614",0.000843067348761887,0.022643924303284,0.0199218748675042,"100463486/4061/100463498/100462977",4
"173","DN","GO:0045785","positive regulation of cell adhesion","10/119","482/18614",0.00105970869032854,0.0274085148918308,0.0241137091197567,"58515/567/3956/6281/6352/64115/387/8784/2316/10563",10
"184","DN","GO:0016479","negative regulation of transcription by RNA polymerase I","2/119","10/18614",0.001763677737119,0.0393074985028116,0.0345823036696009,"29997/2316",2
"185","DN","GO:0051342","regulation of cyclic-nucleotide phosphodiesterase activity","2/119","10/18614",0.001763677737119,0.0393074985028116,0.0345823036696009,"10399/801",2
"186","DN","GO:0098885","modification of postsynaptic actin cytoskeleton","2/119","10/18614",0.001763677737119,0.0393074985028116,0.0345823036696009,"387/5216",2
"189","DN","GO:0045454","cell redox homeostasis","3/119","40/18614",0.00211837676804602,0.0449714284069676,0.0395653667331241,"51714/55829/7295",3
"190","DN","GO:0010269","response to selenium ion","2/119","11/18614",0.00214660756119177,0.0449714284069676,0.0395653667331241,"6415/140606",2
